tag,H,GS,ED
v3_00200000_top-p_1.0_0.85_nobos_1024,2.3782,0.8441,9.7545
v3_00200000_top-p_1.1_0.85_nobos_1024,2.3714,0.9021,9.0124
v3_00200000_top-p_0.95_0.85_nobos_1024,2.4387,0.8669,8.8069
v3_00200000_top-p_0.9_0.9_nobos_1024,2.2225,0.8594,7.8149
v3_00200000_top-p_1.0_0.9_nobos_1024,2.3603,0.8479,7.3891
v3_00200000_top-p_1.05_0.95_nobos_1024,2.4625,0.8118,6.1795
v3_00200000_top-p_0.95_0.9_nobos_1024,2.3804,0.8310,5.4766
v3_00200000_top-p_0.9_0.95_nobos_1024,2.2820,0.8531,4.1619
v3_00200000_top-p_1.05_0.85_nobos_1024,2.3930,0.8364,4.1588
v3_00200000_top-p_1.1_0.9_nobos_1024,2.4538,0.8114,3.9425
v3_00200000_top-p_1.0_0.95_nobos_1024,2.5064,0.8345,3.9048
v3_00200000_top-p_1.05_0.9_nobos_1024,2.4432,0.8503,3.8132
v3_00200000_top-p_1.1_0.95_nobos_1024,2.4724,0.7902,3.7676
v3_00200000_top-p_0.9_0.85_nobos_1024,2.4865,0.8383,3.6820
v3_00200000_top-p_0.95_0.95_nobos_1024,2.3500,0.8800,2.9621
dataset_cache_bd_4,2.5207,0.7789,0.0000
