tag,H,GS,ED
v3_00200000_top-p_1.1_0.9_stride_1024,2.4696,0.8500,9.6272
v3_00200000_top-p_1.05_0.85_stride_1024,2.3293,0.8639,7.6930
v3_00200000_top-p_1.1_0.85_stride_1024,2.3260,0.8983,6.9041
v3_00200000_top-p_0.9_0.85_stride_1024,2.3716,0.8736,6.7215
v3_00200000_top-p_0.95_0.85_stride_1024,2.3736,0.8839,6.6595
v3_00200000_top-p_1.0_0.9_stride_1024,2.3927,0.9104,6.6371
v3_00200000_top-p_1.0_0.85_stride_1024,2.3376,0.8807,6.5393
v3_00200000_top-p_1.0_0.95_stride_1024,2.4079,0.8488,4.9172
v3_00200000_top-p_0.9_0.95_stride_1024,2.4474,0.8902,4.3661
v3_00200000_top-p_0.95_0.9_stride_1024,2.4103,0.8383,4.2454
v3_00200000_top-p_1.1_0.95_stride_1024,2.4621,0.8518,3.4743
v3_00200000_top-p_1.05_0.9_stride_1024,2.3833,0.8121,3.4660
v3_00200000_top-p_1.05_0.95_stride_1024,2.3520,0.8458,3.2817
v3_00200000_top-p_0.9_0.9_stride_1024,2.3367,0.8665,3.0032
v3_00200000_top-p_0.95_0.95_stride_1024,2.4035,0.8102,2.0479
dataset_cache_bd_4,2.5207,0.7789,0.0000
